pid,col_age,col_ast36,col_basic_fill,col_blk36,col_fg3_pct,col_final_is_current,col_ft_pct,col_gp,col_mpg,col_n_seasons,col_pts36,col_reb36,col_stl36
P58604dcdcf,NA,3.0,1,0.444,0.314,1.0,0.587,37.0,32.4,4.0,15.556,7.333,0.889
P6c859977a5,22.84,3.728,1,0.0,0.357,1.0,0.925,36.0,36.7,4.0,20.305,4.316,1.079
P9260f65add,21.09,9.123,1,6.866,0.355,1.0,0.8479999999999999,35.0,36.7,3.0,23.935,4.218,67.684
P35bbbcf03e,NA,2.919,1,NA,0.384,1.0,0.795,35.0,33.3,5.0,16.324,4.973,1.297
Pdb8fb82c3b,NA,1.155,1,3.452,0.0,0.0,0.655,35.0,26.8,4.0,21.761,10.343,0.497
